term,mean,max,min,std,document_count
pagin,0.02903097608306307,0.17614880710040848,0.001100930044377553,0.03662968347014335,96
petrist,0.3923038243271844,0.4401457541231825,0.3444618945311863,0.047841929795998106,2
un,0.013949331331010253,0.14577146970240282,0.0008524647351017708,0.011864069550360297,3080
vide,0.041786943529173955,0.20233064836490602,0.0009346796255987506,0.04353635467159078,177
viral,0.037130258400404306,0.22866450469149813,0.0025837797140282276,0.05047110558836533,90
atribu,0.01570999138001348,0.24936868720734107,0.001182776382011104,0.03521309274144179,62
hug,0.03754113789069071,0.2878768639051158,0.0012022699652649849,0.0629657704632353,31
poll,0.06294040035010462,0.31507398753393284,0.0031316023056934244,0.08089206078649931,19
carvajal,0.15284886908717824,0.41761991478384003,0.009408208343065234,0.18743887190827943,3
confesion,0.04804413418096908,0.3212531894845008,0.003332886115689346,0.0797469271319142,17
cartel,0.04347975756274037,0.2450598964103481,0.0017916645553965336,0.05158437461325042,67
los,0.01434185780559781,0.10964433586015078,0.000856596373907428,0.010787118148992714,3369
sol,0.014856758397535828,0.16177377068183313,0.0006926864451148946,0.019412086013915572,931
polit,0.028435343711350498,0.20668382197462437,0.0009643102113901605,0.032511051660869636,462
venezolan,0.045748761550116715,0.24183838209643976,0.0026035232522343995,0.05674677100490168,71
president,0.026789159706563714,0.187181127147199,0.000924974123368908,0.029285016918713828,704
afin,0.10529786151955549,0.28433380356454896,0.004081346462649029,0.10249333126520384,6
resalt,0.018608146336707,0.20742435812711857,0.003189099676522002,0.03234537965926048,38
este,0.01521517247892703,0.08979628047320691,0.0006267188754411426,0.014254787455782772,1796
logr,0.02151818039751918,0.18697531745336873,0.0007062779556284388,0.03411864924563689,334
grafic,0.055885135831713985,0.24434949918361912,0.0033774269718889667,0.07230918252489987,20
tas,0.0355789454270077,0.2454776175462891,0.0011339998636649225,0.046534959461097966,85
desocup,0.029404629637993483,0.2521175582214873,0.004082875436785219,0.06445554116882983,13
may,0.03226303102590256,0.1595116254997994,0.0008696681081315732,0.03896803368595783,120
aunqu,0.014864666953017507,0.12984718503396595,0.001024210924895437,0.020664519624309045,533
person,0.018248379727499087,0.14413211994184158,0.0009716197547968743,0.02108003178110105,889
expert,0.019940049857767914,0.16016653936812386,0.0013661646331155975,0.03146572371865762,191
cuestion,0.019951569857067628,0.1970481418087222,0.0009346156923733859,0.03501246870451905,159
